target_id	length	eff_length	est_counts	tpm
ENST00000632619.1	28	26	0	0
ENST00000633765.1	31	15.25	0	0
ENST00000633030.1	19	17	0	0
ENST00000632911.1	31	15.25	0	0
ENST00000631871.1	20	18	0	0
ENST00000633010.1	16	14	0	0
ENST00000604642.1	23	21	0	0
ENST00000633379.1	37	21.25	0	0
ENST00000633159.1	21	19	0	0
ENST00000634085.1	16	14	0	0
ENST00000634070.1	18	16	0	0
ENST00000633968.1	20	18	0	0
ENST00000632304.1	17	15	0	0
ENST00000390396.1	347	56.2413	0.5	0.799602
ENST00000390400.2	364	66.1092	3	4.08149
ENST00000621184.1	411	110.314	0	0
ENST00000390372.3	350	57.0179	0	0
ENST00000390369.2	347	56.2413	0	0
ENST00000390468.1	336	60.5554	4	5.94109
ENST00000390424.2	348	56.4218	11	17.535
ENST00000390463.3	356	59.7698	8	12.0383
ENST00000390440.2	425	124.246	3	2.17169
ENST00000390436.2	360	62.8011	15	21.4824
ENST00000390435.1	341	57.4035	8	12.5346
ENST00000631690.1	447	146.149	2.5	1.53852
ENST00000633466.1	413	112.292	0	0
ENST00000611462.1	368	69.6089	0	0
ENST00000612787.1	347	56.2413	0	0
ENST00000390451.2	409	108.314	2	1.66075
ENST00000390371.3	388	88.1729	1	1.02006
ENST00000390363.2	390	90.0298	0	0
ENST00000390448.3	406	105.356	4	3.41474
ENST00000422143.2	402	101.459	1	0.886476
ENST00000390398.3	381	81.7206	3	3.30179
ENST00000390378.1	343	56.6959	0	0
ENST00000454561.2	544	243.044	4.8	1.7763
ENST00000390360.3	365	66.9381	0	0
ENST00000390425.2	519	218.044	5	2.06246
ENST00000390423.2	402	101.459	7	6.20533
ENST00000619103.1	344	56.5451	0	0
ENST00000616518.1	421	120.246	0	0
ENST00000390361.3	397	96.6666	0	0
ENST00000390353.2	401	100.479	0	0
ENST00000390357.3	373	74.2506	2	2.42264
ENST00000390458.3	469	168.103	9	4.81532
ENST00000390457.2	425	124.246	4	2.89559
ENST00000417977.2	447	146.149	2.5	1.53852
ENST00000614171.1	374	75.167	0	0
ENST00000390376.2	341	57.4035	0	0
ENST00000390375.2	384	84.4776	1	1.06468
ENST00000390374.3	392	91.9291	1	0.978377
ENST00000390373.2	344	56.5451	0	0
ENST00000390368.2	410	109.314	2	1.64556
ENST00000426318.2	395	94.7239	0	0
ENST00000390367.3	364	66.1092	0.5	0.680248
ENST00000632512.1	455	154.135	1.5	0.875286
ENST00000535880.2	425	124.246	19	13.7541
ENST00000390464.2	353	58.1555	0	0
ENST00000390465.2	395	94.7239	6	5.69706
ENST00000390460.1	327	71.446	3	3.77661
ENST00000390455.3	537	236.044	5	1.90518
ENST00000390453.1	343	56.6959	3	4.75914
ENST00000617639.1	406	105.356	0	0
ENST00000390447.3	467	166.103	15	8.12217
ENST00000617347.1	406	105.356	0	0
ENST00000390431.3	338	58.9207	0	0
ENST00000390394.3	413	112.292	9	7.20865
ENST00000390467.3	317	84.8383	0	0
ENST00000390450.3	464	163.103	9	4.96294
ENST00000390449.3	343	56.6959	5	7.93191
ENST00000390444.1	329	68.5142	3	3.93821
ENST00000390442.3	399	98.5887	5	4.56144
ENST00000390438.2	469	168.103	3	1.60511
ENST00000632829.1	411	110.314	0	0
ENST00000390397.2	381	81.7206	0	0
ENST00000390362.1	343	56.6959	0	0
ENST00000390381.3	652	350.987	9	2.30627
ENST00000390399.3	387	87.2523	2	2.06164
ENST00000611520.1	428	127.233	0	0
ENST00000390364.3	412	111.303	0	0
ENST00000390441.2	394	93.7711	10	9.59157
ENST00000632432.1	406	105.356	0	0
ENST00000557168.1	337	59.6141	0	0
ENST00000390456.3	341	57.4035	0	0
ENST00000634605.1	394	93.7711	0	0
ENST00000634383.1	424	123.246	0	0
ENST00000390392.3	455	154.135	1.5	0.875286
ENST00000390454.2	403	102.408	2	1.75652
ENST00000390452.2	365	66.9381	12	16.1238
ENST00000621643.1	102	30.5	0	0
ENST00000620569.1	409	108.314	0	0
ENST00000611787.1	392	91.9291	0	0
ENST00000390377.1	347	56.2413	1	1.5992
ENST00000390466.1	331	66.1559	1	1.35953
ENST00000390461.2	349	56.5924	1	1.58928
ENST00000390446.3	440	139.22	0	0
ENST00000390443.3	561	260.018	4	1.38361
ENST00000390437.2	445	144.149	7	4.36762
ENST00000542354.1	392	91.9291	2	1.95675
ENST00000390393.3	552	251.044	10	3.58269
ENST00000390387.3	391	91.0025	4.5	4.44752
ENST00000455382.2	421	120.246	3	2.24393
ENST00000547918.2	380	80.7534	0.5	0.556888
ENST00000390439.2	410	109.314	7	5.75946
ENST00000390433.1	340	57.8141	3	4.66709
ENST00000390432.2	379	79.8347	2	2.25319
ENST00000390430.2	473	172.086	3	1.56796
ENST00000390429.3	337	59.6141	0	0
ENST00000390427.3	352	57.7736	14	21.7951
ENST00000390426.2	395	94.7239	4	3.79804
ENST00000631835.1	421	120.246	0	0
ENST00000620773.1	347	56.2413	0	0
ENST00000390469.2	520	219.044	6	2.46365
ENST00000390445.2	484	183.086	7	3.43876
ENST00000390434.3	566	265.018	10	3.39378
ENST00000390428.3	404	103.398	1	0.869854
ENST00000633283.1	387	87.2523	2	2.06164
ENST00000619125.2	364	66.1092	3	4.08149
ENST00000634198.1	402	101.459	1	0.886476
ENST00000633092.1	381	81.7206	0	0
ENST00000632638.1	552	251.044	0	0
ENST00000631663.1	344	56.5451	0	0
ENST00000631824.1	406	105.356	0	0
ENST00000390340.2	463	162.103	0	0
ENST00000390345.2	688	386.95	3.48373	0.809747
ENST00000633384.1	652	350.987	9	2.30627
ENST00000633842.1	347	56.2413	0.5	0.799602
ENST00000633796.1	374	75.167	0	0
ENST00000633265.1	392	91.9291	0	0
ENST00000631511.1	386	86.3309	2	2.08364
ENST00000632216.1	384	84.4776	1	1.06468
ENST00000633072.1	410	109.314	2	1.64556
ENST00000634176.1	364	66.1092	0.5	0.680248
ENST00000632308.1	380	80.7534	0.5	0.556888
ENST00000631557.1	401	100.479	0	0
ENST00000610439.4	381	81.7206	0	0
ENST00000631559.1	428	127.233	0	0
ENST00000633244.1	347	56.2413	0	0
ENST00000444775.2	1735	1433.9	12	0.7527
ENST00000390346.2	537	236.044	9.10121	3.46789
ENST00000633790.1	343	56.6959	0	0
ENST00000631548.1	347	56.2413	1	1.5992
ENST00000632425.1	407	106.335	0	0
ENST00000633963.1	390	90.0298	0	0
ENST00000426402.2	544	243.044	2.56763	0.95018
ENST00000632248.1	412	111.303	0	0
ENST00000633328.1	390	90.0298	2	1.99803
ENST00000633696.1	544	243.044	1.2	0.444074
ENST00000633292.1	409	108.314	0	0
ENST00000632560.1	347	56.2413	4	6.39681
ENST00000390348.2	465	164.103	1	0.548077
ENST00000390344.2	552	251.044	13	4.65749
ENST00000632187.1	350	57.0179	0	0
ENST00000632016.1	392	91.9291	0	0
ENST00000631427.1	455	154.135	0	0
ENST00000632148.1	424	123.246	0	0
ENST00000631392.1	386	86.3309	1	1.04182
ENST00000633472.1	365	66.9381	0	0
ENST00000631882.1	397	96.6666	2	1.86086
ENST00000633575.1	395	94.7239	6	5.69706
ENST00000631639.1	478	177.086	0	0
ENST00000634111.1	392	91.9291	0	0
ENST00000631471.1	344	56.5451	0	0
ENST00000632021.1	347	56.2413	0	0
ENST00000634123.1	343	56.6959	0	0
ENST00000390343.2	468	167.103	12.1915	6.56193
ENST00000390341.2	512	211.065	10	4.2613
ENST00000634093.1	344	56.5451	0	0
ENST00000379435.3	416	115.257	0	0
ENST00000633313.1	347	56.2413	0	0
ENST00000632713.1	373	74.2506	0	0
ENST00000632422.1	391	91.0025	4.5	4.44752
ENST00000632828.1	421	120.246	3	2.24393
ENST00000615270.1	1295	993.899	0	0
ENST00000504970.1	935	633.899	0	0
ENST00000649616.1	940	638.899	0	0
ENST00000332217.5	990	688.899	0	0
ENST00000568934.1	921	619.899	0	0
ENST00000541415.2	2778	2476.9	0	0
ENST00000622436.1	921	619.899	0	0
ENST00000472952.3	1239	937.899	1	0.0958966
ENST00000607853.6	1684	1382.9	0	0
ENST00000619390.1	1504	1202.9	0	0
ENST00000618719.2	692	390.95	0	0
ENST00000629682.2	1576	1274.9	0	0
ENST00000620741.3	1738	1436.9	0	0
ENST00000627911.2	1363	1061.9	0	0
ENST00000625994.1	573	272.018	0	0
ENST00000628872.1	564	263.018	0.113702	0.0388814
ENST00000617651.4	1734	1432.9	0	0
ENST00000616376.1	1504	1202.9	0	0
ENST00000616914.1	1295	993.899	0	0
ENST00000641557.1	3409	3107.9	12.591	0.364379
ENST00000641057.1	3463	3161.9	0	0
ENST00000394191.3	1045	743.899	0	0
ENST00000429239.1	925	623.899	0	0
ENST00000641710.1	606	305.018	4.23887	1.24992
ENST00000641031.1	462	161.103	6.76113	3.77463
ENST00000615996.1	1563	1261.9	4.1104	0.292967
ENST00000446393.2	4888	4586.9	0	0
ENST00000641506.1	4376	4074.9	18.0831	0.39913
ENST00000649376.1	279	81.3815	0	0
ENST00000611873.1	1112	810.899	0	0
ENST00000641246.2	318	84.0173	0	0
ENST00000514827.2	1712	1410.9	0	0
ENST00000634967.1	1493	1191.9	0	0
ENST00000634680.1	1421	1119.9	0	0
ENST00000606380.2	1637	1335.9	0	0
ENST00000616270.4	1132	830.899	0	0
ENST00000642324.1	3595	3293.9	10.5405	0.287812
ENST00000438700.8	2528	2226.9	0	0
ENST00000622555.1	1720	1418.9	0.229762	0.0145642
ENST00000627256.2	14829	14527.9	6.38776	0.0395462
ENST00000628539.1	656	354.987	0.926091	0.234639
ENST00000626903.1	404	103.398	1.79494	1.56134
ENST00000629229.1	553	252.044	0.25	0.0892118
ENST00000621433.1	8003	7701.9	0	0
ENST00000377712.3	765	463.95	0	0
ENST00000637675.1	546	245.044	0	0
ENST00000502411.5	566	265.018	0	0
ENST00000496692.6	554	253.044	2.5136	0.893426
ENST00000466542.6	1070	768.899	0	0
ENST00000465075.6	769	467.95	0	0
ENST00000473530.6	1632	1330.9	117.726	7.95586
ENST00000473712.6	567	266.018	0	0
ENST00000482226.2	527	226.044	1.09709	0.436524
ENST00000467903.5	1101	799.899	350.362	39.395
ENST00000507374.5	553	252.044	0	0
ENST00000508651.1	542	241.044	38.9338	14.5275
ENST00000611236.1	958	656.899	0	0
ENST00000543859.5	1507	1205.9	112.382	8.38196
ENST00000339924.12	1608	1306.9	0	0
ENST00000391729.1	677	375.95	0	0
ENST00000457194.6	1984	1682.9	18.8948	1.00982
ENST00000429712.5	1313	1011.9	1.19472	0.106191
ENST00000493176.1	545	244.044	3.19781	1.17854
ENST00000420396.3	1240	938.899	0	0
ENST00000424348.1	959	657.899	0	0
ENST00000402588.6	937	635.899	0	0
ENST00000634759.1	1184	882.899	27.3313	2.78425
ENST00000621118.4	1112	810.899	0	0
ENST00000621713.1	1240	938.899	0	0
ENST00000619141.4	900	598.899	0	0
ENST00000621830.1	677	375.95	0	0
ENST00000425829.2	947	645.899	0	0
ENST00000622207.2	1030	728.899	0	0
ENST00000418689.1	945	643.899	0	0
ENST00000579578.6	1482	1180.9	0	0
ENST00000586762.2	590	289.018	0	0
ENST00000588823.1	622	320.987	0	0
ENST00000611850.4	1407	1105.9	0	0
ENST00000591655.3	1456	1154.9	0	0
ENST00000626647.1	2737	2435.9	0	0
ENST00000618570.1	1185	883.899	0	0
ENST00000610808.1	1322	1020.9	0	0
ENST00000573400.1	939	637.899	0	0
ENST00000553483.3	931	629.899	0	0
ENST00000445557.1	926	624.899	0	0
ENST00000553765.2	945	643.899	5	0.698412
ENST00000439431.3	2898	2596.9	1	0.0346341
ENST00000627926.2	12809	12507.9	0	0
ENST00000630506.1	656	354.987	0.926091	0.234639
ENST00000630053.1	404	103.398	1.79494	1.56134
ENST00000626712.1	553	252.044	0.25	0.0892118
ENST00000619759.1	8003	7701.9	12.2427	0.142967
ENST00000435756.2	944	642.899	2	0.279799
ENST00000440231.1	985	683.899	0	0
ENST00000641465.1	2883	2581.9	0	0
ENST00000631283.1	936	634.899	0	0
ENST00000522175.7	1931	1629.9	0	0
ENST00000519951.2	2268	1966.9	0	0
ENST00000508166.5	2164	1862.9	0	0
ENST00000503442.1	1232	930.899	0	0
ENST00000511446.2	2018	1716.9	4	0.209544
ENST00000504802.1	600	299.018	0	0
ENST00000508264.1	727	425.95	0	0
ENST00000613293.4	1233	931.899	0	0
ENST00000610628.4	2154	1852.9	0	0
ENST00000613512.4	1451	1149.9	33.5565	2.62468
ENST00000458137.5	1166	864.899	1.9544	0.203239
ENST00000375726.6	1306	1004.9	0	0
ENST00000447913.5	819	517.899	0	0
ENST00000446862.5	1196	894.899	0	0
ENST00000441710.5	1168	866.899	0	0
ENST00000433738.5	709	407.95	1.91978	0.423257
ENST00000448103.5	1071	769.899	8.59977	1.00464
ENST00000417998.5	1401	1099.9	0	0
ENST00000494737.5	961	659.899	21.9696	2.99436
ENST00000508062.1	774	472.95	0	0
ENST00000422698.6	1685	1383.9	0	0
ENST00000574062.5	1655	1353.9	0	0
ENST00000575319.1	1738	1436.9	10.6281	0.665252
ENST00000576465.1	573	272.018	0	0
ENST00000573762.1	564	263.018	0.113702	0.0388814
ENST00000614621.4	1504	1202.9	0	0
ENST00000619036.2	1734	1432.9	0	0
ENST00000571766.2	994	692.899	0	0
ENST00000613379.1	1322	1020.9	0	0
ENST00000419783.2	1151	849.899	456.566	48.3165
ENST00000419349.2	1135	833.899	29.1978	3.14917
ENST00000643797.1	708	406.95	0	0
ENST00000646881.1	589	288.018	73.2361	22.8699
ENST00000496791.1	580	279.018	0	0
ENST00000620890.1	897	595.899	0	0
ENST00000435101.1	692	390.95	0	0
ENST00000358097.8	1655	1353.9	0	0
ENST00000433992.2	1740	1438.9	0	0
ENST00000610593.4	1363	1061.9	1.47418e-07	1.24861e-08
ENST00000424775.1	573	272.018	0	0
ENST00000435688.1	564	263.018	0.113702	0.0388814
ENST00000614967.4	1504	1202.9	0	0
ENST00000612115.1	1734	1432.9	0	0
ENST00000633377.1	1609	1307.9	7	0.481374
ENST00000633062.1	1329	1027.9	0	0
ENST00000632233.1	1606	1304.9	0	0
ENST00000570683.3	948	646.899	0	0
ENST00000621991.4	1256	954.899	1.07773	0.101511
ENST00000619816.1	677	375.95	0	0
ENST00000534447.5	5330	5028.9	28.2902	0.505966
ENST00000534142.5	2012	1710.9	8.71205	0.457989
ENST00000533478.5	5669	5367.9	6.93984	0.11628
ENST00000525539.5	7379	7077.9	0	0
ENST00000530363.5	1608	1306.9	9.11138	0.627049
ENST00000299598.11	5818	5516.9	15.0642	0.24559
ENST00000529079.1	574	273.018	0	0
ENST00000531391.5	1488	1186.9	5.63493	0.427006
ENST00000526632.5	2006	1704.9	0	0
ENST00000527937.1	4165	3863.9	4.3498	0.101252
ENST00000529791.1	552	251.044	0	0
ENST00000337114.8	3427	3125.9	0	0
ENST00000523857.5	3818	3516.9	0	0
ENST00000521053.5	3830	3528.9	0	0
ENST00000430863.5	4164	3862.9	0	0
ENST00000521161.5	613	311.987	0	0
ENST00000621837.1	4164	3862.9	0	0
ENST00000645657.1	2898	2596.9	1	0.0346341
ENST00000634782.1	692	390.95	1.50289	0.345752
ENST00000634785.1	1655	1353.9	0	0
ENST00000635170.1	1740	1438.9	8.7519	0.547055
ENST00000635588.1	1363	1061.9	1.47418e-07	1.24861e-08
ENST00000635275.1	573	272.018	0	0
ENST00000634356.1	564	263.018	0.113702	0.0388814
ENST00000635668.1	1504	1202.9	0	0
ENST00000635135.1	1734	1432.9	0	0
ENST00000638472.1	1608	1306.9	0	0
ENST00000640926.1	677	375.95	0	0
ENST00000638933.1	1608	1306.9	0	0
ENST00000639960.1	677	375.95	0	0
ENST00000638401.1	1608	1306.9	0	0
ENST00000640180.1	677	375.95	0	0
ENST00000639581.1	1608	1306.9	0	0
ENST00000639095.1	677	375.95	0	0
ENST00000618023.5	1608	1306.9	0	0
ENST00000639404.1	677	375.95	0	0
ENST00000640635.2	1608	1306.9	0	0
ENST00000640257.2	677	375.95	0	0
ENST00000633705.1	760	458.95	8.088	1.58502
ENST00000611116.1	976	674.899	245	32.6503
ENST00000390477.2	720	418.95	77	16.5306
ENST00000622053.4	755	453.95	82.912	16.4274
ENST00000632136.1	760	458.95	0	0
ENST00000466254.1	758	456.95	0	0
ENST00000443402.6	2730	2428.9	40.5007	1.49973
ENST00000436911.6	1013	711.899	43.4993	5.4957
ENST00000390565.1	52	36.25	0	0
ENST00000390326.2	33	17.25	0	0
ENST00000390239.2	37	21.25	0	0
ENST00000463911.1	49	33.25	0	0
ENST00000488476.1	49	33.25	0	0
ENST00000461719.1	46	30.25	0	0
ENST00000633896.1	50	34.25	1	2.62602
ENST00000390560.2	61	45.25	0	0
ENST00000390238.2	38	22.25	9	36.3807
ENST00000390328.2	70	54.25	0	0
ENST00000390564.2	52	36.25	0	0
ENST00000390242.2	38	22.25	1	4.0423
ENST00000390241.3	39	23.25	0	0
ENST00000634062.1	52	36.25	0	0
ENST00000390240.2	38	22.25	6	24.2538
ENST00000390320.2	127	14.4062	1	6.24321
ENST00000390322.2	175	32.4498	0	0
ENST00000390324.2	176	33.0113	0	0
ENST00000633501.1	51	35.25	6	15.3092
ENST00000631521.1	48	32.25	0	0
ENST00000390327.2	72	56.25	0	0
ENST00000390330.2	46	30.25	0	0
ENST00000631705.1	63	47.25	0	0
ENST00000632178.1	53	37.25	0	0
ENST00000641095.1	2594	2292.9	3.09864	0.121547
ENST00000390545.3	1116	814.899	26.8065	2.95866
ENST00000641978.1	2597	2295.9	3.02121	0.118355
ENST00000390543.3	1119	817.899	439.714	48.3538
ENST00000641420.1	1485	1183.9	0	0
ENST00000390541.2	1412	1110.9	0	0
ENST00000390548.6	2619	2317.9	6.66184	0.258499
ENST00000390549.6	1128	826.899	5388.01	586.051
ENST00000390542.6	1022	720.899	1.03603	0.129258
ENST00000621803.2	1114	812.899	842.396	93.205
ENST00000637539.2	1686	1384.9	37.0583	2.40673
ENST00000390559.6	1485	1183.9	761.971	57.8872
ENST00000641837.1	1310	1008.9	18.2396	1.62602
ENST00000390547.3	1112	810.899	2030.98	225.267
ENST00000641136.1	2751	2449.9	2.35283	0.0863776
ENST00000390551.6	1268	966.899	28.2084	2.62395
ENST00000390556.6	1678	1376.9	1.16674	0.0762136
ENST00000613640.1	1155	853.899	63.6665	6.706
ENST00000497872.4	1320	1018.9	1.50997	0.133289
ENST00000390539.2	1071	769.899	0	0
ENST00000390331.3	441	140.206	0	0
ENST00000390323.2	462	161.103	770.838	430.346
ENST00000390321.2	460	159.119	86.1317	48.6855
ENST00000390237.2	523	222.044	4050	1640.49
ENST00000390325.2	462	161.103	78.1619	43.6365
ENST00000633714.1	1112	810.899	2030.98	225.267
ENST00000626472.2	1485	1183.9	761.971	57.8872
ENST00000632774.1	1266	964.899	515.268	48.0297
ENST00000622473.2	1071	769.899	591.294	69.0763
ENST00000610670.2	1412	1110.9	4	0.32385
ENST00000633698.1	1678	1376.9	1.16674	0.0762136
ENST00000631539.1	2619	2317.9	6.66184	0.258499
ENST00000631466.1	1128	826.899	5388.01	586.051
ENST00000631402.1	1022	720.899	1.03603	0.129258
ENST00000618981.2	1119	817.899	439.714	48.3538
ENST00000390636.2	437	136.233	3	1.9806
ENST00000390616.2	400	99.5194	2	1.80751
ENST00000390609.3	432	131.233	52.5	35.9811
ENST00000632950.2	410	109.314	0	0
ENST00000620613.1	314	86.2565	0	0
ENST00000621595.1	312	87.2174	0	0
ENST00000633987.1	589	288.018	0.000340628	0.00010637
ENST00000617374.2	358	61.2099	2	2.93878
ENST00000632209.1	353	58.1555	0	0
ENST00000438142.3	428	127.233	0	0
ENST00000390601.3	473	172.086	2	1.0453
ENST00000628219.1	534	233.044	0	0
ENST00000631869.1	353	58.1555	0	0
ENST00000633400.1	431	130.233	0	0
ENST00000633299.1	417	116.257	0	0
ENST00000557788.2	353	58.1555	0	0
ENST00000468494.1	390	90.0298	28.8159	28.7875
ENST00000622410.2	353	58.1555	0	0
ENST00000390256.2	406	105.356	7	5.9758
ENST00000490686.1	378	78.9474	0	0
ENST00000390627.3	571	270.018	0	0
ENST00000390622.2	655	353.987	2.99889	0.76196
ENST00000390629.3	495	194.086	2	0.926817
ENST00000390615.2	431	130.233	20	13.8123
ENST00000390624.3	432	131.233	5.5	3.76944
ENST00000390612.3	425	124.246	0	0
ENST00000390605.2	410	109.314	6	4.93668
ENST00000390604.2	425	124.246	0	0
ENST00000631943.1	402	101.459	0	0
ENST00000455737.2	417	116.257	0	0
ENST00000390593.2	415	114.28	33	25.9718
ENST00000424969.2	587	286.018	5.99966	1.88665
ENST00000390639.2	405	104.388	0	0
ENST00000624687.1	411	110.314	0	0
ENST00000390634.3	434	133.233	0	0
ENST00000390611.2	381	81.7206	3	3.30179
ENST00000603660.1	431	130.233	0	0
ENST00000390619.2	425	124.246	11	7.96287
ENST00000390618.2	426	125.233	0	0
ENST00000615784.2	353	58.1555	0	0
ENST00000421835.2	350	57.0179	1	1.57742
ENST00000632980.1	432	131.233	1.53675e-08	1.05322e-08
ENST00000390318.2	403	102.408	5	4.3913
ENST00000628287.1	466	165.103	36.6136	19.9455
ENST00000618644.2	385	85.4262	6	6.31712
ENST00000630493.1	369	70.5087	0	0
ENST00000610349.2	407	106.335	15	12.6874
ENST00000628968.1	374	75.167	0	0
ENST00000618026.2	393	92.8272	0	0
ENST00000454421.2	431	130.233	2	1.38123
ENST00000627132.1	384	84.4776	0	0
ENST00000462693.1	390	90.0298	1	0.999017
ENST00000390265.2	440	139.22	0	0
ENST00000611734.1	324	75.6743	0	0
ENST00000448155.2	376	77.0819	14	16.3356
ENST00000390598.2	430	129.233	22	15.3111
ENST00000390595.3	395	94.7239	0	0
ENST00000390283.2	414	113.28	54	42.8744
ENST00000390630.3	457	156.119	0	0
ENST00000390610.2	411	110.314	14	11.4145
ENST00000390632.2	427	126.233	0	0
ENST00000390626.2	410	109.314	45	37.0251
ENST00000433072.2	437	136.233	4	2.6408
ENST00000621503.1	303	87.5648	0	0
ENST00000390628.3	414	113.28	0.5	0.396985
ENST00000390625.3	439	138.22	2	1.30142
ENST00000390603.2	437	136.233	0	0
ENST00000390597.3	378	78.9474	6	6.83553
ENST00000626108.1	353	58.1555	0	0
ENST00000390621.3	411	110.314	1	0.815322
ENST00000632099.1	353	58.1555	1	1.54657
ENST00000390633.2	412	111.303	0	0
ENST00000390607.2	430	129.233	35	24.3586
ENST00000390602.3	430	129.233	0	0
ENST00000390594.3	417	116.257	2.764	2.13834
ENST00000465170.1	398	97.5986	0	0
ENST00000480492.1	398	97.5986	1	0.921543
ENST00000434710.1	434	133.233	2.99992	2.02514
ENST00000390617.2	366	67.8412	0	0
ENST00000390277.3	444	143.149	0	0
ENST00000390278.3	373	74.2506	0	0
ENST00000468879.1	532	231.044	0	0
ENST00000471857.2	534	233.044	0	0
ENST00000443397.5	384	84.4776	0	0
ENST00000604066.1	353	58.1555	1.236	1.91156
ENST00000629472.1	412	111.303	0	0
ENST00000627634.1	383	83.52	0	0
ENST00000390297.3	467	166.103	0.00766063	0.00414806
ENST00000611391.1	376	77.0819	0	0
ENST00000484817.1	390	90.0298	0.5	0.499508
ENST00000390270.2	445	144.149	3.51402	2.19256
ENST00000492446.1	378	78.9474	1	1.13926
ENST00000453673.3	353	58.1555	3	4.6397
ENST00000492167.1	400	99.5194	83.743	75.6832
ENST00000483158.1	392	91.9291	38.5	37.6675
ENST00000631826.1	411	110.314	1	0.815322
ENST00000632457.1	382	82.6374	4.77276e-07	5.1946e-07
ENST00000632630.1	432	131.233	52.5	35.9811
ENST00000495489.1	398	97.5986	0	0
ENST00000632296.1	432	131.233	5.5	3.76944
ENST00000496168.1	532	231.044	10.5	4.08746
ENST00000338912.5	353	58.1555	0	0
ENST00000632173.1	434	133.233	0	0
ENST00000631755.1	425	124.246	0	0
ENST00000632977.1	395	94.7239	0	0
ENST00000390304.2	377	78.0032	1	1.15305
ENST00000390302.3	412	111.303	0	0
ENST00000390303.3	383	83.52	0	0
ENST00000390305.2	380	80.7534	8	8.91021
ENST00000483379.1	532	231.044	4	1.55713
ENST00000474213.1	395	94.7239	3.36824	3.19818
ENST00000464162.1	380	80.7534	0	0
ENST00000631710.1	433	132.233	0	0
ENST00000631807.1	420	119.246	0	0
ENST00000632719.1	425	124.246	0	0
ENST00000390606.3	415	114.28	0.5	0.393511
ENST00000390247.2	445	144.149	0	0
ENST00000377032.5	371	72.3777	0	0
ENST00000491977.1	390	90.0298	27	26.9735
ENST00000612356.1	310	87.2911	0	0
ENST00000498435.1	382	82.6374	1.5	1.63258
ENST00000493819.1	409	108.314	0	0
ENST00000354689.6	294	86.1699	0	0
ENST00000558425.2	288	84.7154	0	0
ENST00000620764.2	412	111.303	0	0
ENST00000633426.1	571	270.018	0	0
ENST00000632614.1	414	113.28	0.5	0.396985
ENST00000632960.1	457	156.119	0	0
ENST00000619078.2	495	194.086	2	0.926817
ENST00000633833.1	402	101.459	0	0
ENST00000390268.2	390	90.0298	0	0
ENST00000509129.1	353	58.1555	0	0
ENST00000390243.2	538	237.044	184	69.8148
ENST00000390271.2	371	72.3777	0	0
ENST00000417279.3	396	95.6858	0	0
ENST00000429992.2	332	65.1643	0	0
ENST00000560045.1	312	87.2174	0	0
ENST00000479981.1	378	78.9474	3	3.41777
ENST00000390252.2	442	141.192	33	21.0215
ENST00000622028.1	353	58.1555	0	0
ENST00000632882.1	414	113.28	0	0
ENST00000390309.2	377	78.0032	94	108.386
ENST00000390307.2	409	108.314	0	0
ENST00000390244.2	408	107.325	2	1.67606
ENST00000632211.1	439	138.22	2	1.30142
ENST00000498574.1	398	97.5986	0	0
